Category;Motivation;Outcome;Year
Family;Financial reasons, whereby accommodation is expensive around Witbank whilst I have family whom I can reside at for the remaining duration of my qualification at this Institution.  I have a paternal aunt resides at 4103 Rolfus Street, Ext 21, The Orchards. 0182.  Who have accepted accommodating me till I complete my course.  Reference:  Morongwa Pelpo 081 036 8409 or 084 788 8508.;Approved;2014
Family;I am from Soshanguve, and unfortunately I couldn't study at Soshanguve Campus as it was full by the time I applied.  I would like to study at Soshanguve Campus as I will be staying at home and NOT paying any accommodation and I have a relative who studied the same course as I, so I will be having someone to mentor me full time.;Approved;2014
Family;I am making a request to be transferred to Soshanguve Campus since I am having money problems.  I am having a single-parent (mother) who is earning not enough money for family expenses.  She does not have enough money to pay for the place I am staying at, buy me food and then home expenses.  My mother suggested that she can stop suffering next semester if I go to Soshanguve Campus.  I will be staying with my aunt.  Mo mother's expenses will then be less.  I will be so glad if you approve my transfer so that my mother will stop suffering.  Thank you.;Declined;2014
Family;My parents are struggeling with the expensive rent here in Witbank.  I am currently paying      R1 500 per sharing a room.  I stay far from the campus and it is not easy for me to access the library as I wish.  I have an aunt staying in Soshanguve Block L.  It will be walking to campus and I will be able to access the library as I wish and that could improve my academics.;Declined;2014
Family, Academic and Security;There are a number of issues that leads me to need this transfer.  Firstly I do not have a bursary and the way things  are going I will end up being a drop out.  If I can go to Soshanguve Campus, it will be better deu to that I can travel with my father because he also work at Pretoria and that will be less costly.  Secondly, I cannot perform well because I spend much time in the bus than studying.  Thirdly, it is safety, it is not safe where I live right now.  I will appreciate it if I can get this transfer.  I really need this to fulfil my dreams and goals.  Thank you. ;Declined;2014
health;I am a person who usually get ill, and I am alone here.  At least Pretoria is home, it can encounter problems if I can not get immediate help.  I struggle to find accommodation, which makes me stressed up an it affect my studies.  Where I stay here in Witbank, I stay far from school and I don't get money to come to library.  So at Soshanguve everything will be easy since it is near my home and I won't get stressed anymore.  Again my academic will improve.;Approved;2014
Academic;I am intending to study Communication Networks and in my current campus only Software Development is offered.  My current campus is located in a more urban area and unfortunately I did not get accommodation at the campus residence therefore its very hard for me to find a more affordable place.  My parents cannot afford to pay that kind of money for rent where as I will be staying at home in Soshanguve South.;Declined;2014
Family and Finance;I am staying far from Witbank and my mother can not afford to pay my rent since it is expensive.  It would be better if I stay near home to school.  Again it is no longer safe here in Witbank for me because they are some guys who are stalking me and threathening to kill me, I have opened a case but its not enough since I nolonger feel safe even to walk on street by myself.;Approved;2014
Family and Finance;I, student number 214189143 Thabang Phoku, would like to be transferred to the abovementioned campus due to the following circumstances:  A am originally from Gauteng in Soshanguve and it is close to the abovementioned campus as well as my family.  I did not yet recieved a bursary to pay for my school fees as well as residence and this is putting financial strain on my parents as they are paying for my stay, grocery and stationary (books), etc. and the cost of living for the campus where I am currently residing is expensive compared to that of my area and the new campus.  If I get transferred this will definitely help a lot.;Declined;2014
Familty and Finance;I am humbly asking for a transfer because I am having financial challenges.  My mother is unemployed and my father is having financial challenges.  I reside at 19686 Ext 10, Soshanguve South, 0152, a letter from Home Affairs as prove is attached.  I am going to have difficulties to pay for rent, transport and buy groceries because my father was only able to pay for my first semester, so my mother will have to pay for everything, including my second semester fees hence my father is paying maintenace for me and my sister.  Studying from home (Soshanguve) would help my mother in terms of the fees from my second semester and next year.  Prove of maintenance is attached too.;Declined;2014
Health;I feel that this transfer will be very beneficial to me mainly because I am a student that is diagnosed with migraine so it will be much easier for me to get access to my doctors whenever I may be sick.  And at least Soshanguve Camps is much closer from my home (Kempton Park).  Rent here at Witbank is too expensive, if I am at home I'll be travelling and instead of paying rent.   I will be paying less.  Next year I will be specializing in Intelligent Industrial Systems. ;Declined;2014
Family;My parents are living in Pretoria.  I would like to be transferred to be closer to my family and friends.  Proof of residence is attached along with a certified copy of my fathers' ID.;Approved;
Finance;The reason behind this transfer is that I am unable to cope on my school work.  I am originally from Limpopo and my background is unstable, so sometimes during school holidays I am unable to go home because of the amount of money required from me.  I believe that if I'm close to home I will be releaved and I would not have to worry about my financial issues, and also that my performance will be better.;Declined;2014
Social;My main motivation for the transfer is for me to improve academically as I am now used to my current campus, so I feel that if I move to another campus and get away from my close friends here in Pretoria, then I can start afresh and do well academically like I did with my first year passing all my subjects and other thing is that I don't use NSFAS and I stay away from Soshanguve, so I pay for bus, so it will be an advantage for me because my father stays and work in Polokwane.;Declined;2014
Finance;I was admitted here in Soshanguve campus but now I want to attend at Polokwane campus. I am a first year student and next year I want to choose Software Development as my specialisation which is there in Polokwane.My parents cannot affort to pay rentso I want to stay with them in Polokwane. ;Declined;2014
Family;I am going to Polokwane just because it is near to where my parents are.;Declined;2014
Finance;I need transfer because I am having a problem with the money to pay rent and I am not coping.  My sister is staying in Pretoria so at least I will be staying with her until I complete my course.;Declined;2014
Academic;I, J Hendricks, hereby request a transfer to TUT Soshanguve South Campus because I want to study Support Services, which is not offered at Polokwane Campus.  This will help me to study in a field that I have always admired and interested into.  It will also give me chance to be able to finish all my qualifications without moving from one campus to another after graduating for diploma.;Approved;2014
Academic;Soshanguve Campus offers my specialization and I am more aware of the resources that side compared to this side.  Also I will be closer to home thus accommodation will be less cheaper and transport fees will be minimized.;Declined;2014
Social;My parents chaned provinces and I am left alone here in Polokwane.  It will be difficult for me to continue with my studies here in Polokwane.  I would like to continue with my studies at Soshanguve Campus.  Another reason is that I am pregnant girl who is due soon.  So I really need to be close to my parents for them to take care of me and the new baby.  I would appreciate if you approve my application.  Thank you.;Declined;2014
Finance;Living away from home has been strenias and stressful.  Lately expecially now that we're going through a financial crisis, my parents can no longer afford to sustain me as I living away from home has been very costly.  As a result, my academic work has suffered a great deal and my results have been proof of that.  A transfer is exactly what I need and I would highly appreciated it if this transfer can go through smoothly.;Approved;2014
Social;I am a student who transferred to Soshanguve this semester due to financial problems at home, since I was staying with my aunt at her place in Soshanguve.  Unfortunately after a few weeks of illness, I lost my aunt and therefore I cannot stay there anymore.  I would like to remain with Software Development.;Declined;2014
Social;I Prudence Potlake Malete, 212441619, wish to transfer back to eMalahleni Campus.  My mom got very sick at home and this affected my studies and even my progress report would account for this.  I would love to return hom to eMalahleni as I would be living at home and be able to look after my mother and study at the same time.  I hope to find a positive response on this issue.;Approved;2014
Finance;I am struggeling financial which affect me academically so eMalahleni campus is near home.  There will be no need to pay rent and I will be close to my family.;Approved;2014
Accommodation;I'm currently experiencing accommodation problems since I was not accepted at the residence.  Thus on daily basis it is a problem to travel back and forth to the campus, since I reside at a distant place.  I'm also suffering academically due to not being close to the library at all times to access the facilities provided on campus for our benefits.  I've chosen the Polokwane campus because it is much closer to my home and cost effective and also for all my academic progress.;Declined;2014
Family;"I am facing personal problems in which my
parent is faced with a medical condition
that requires assistance, care as well as
support.  Under the current circumstances
I am forced to go back and live home but I
still have the desire to study further.  The
Polokwane campus is closer to home so it will
give me an opportunity to study and still be
able too provide all the necessary support
required at home.";Approved;2016
Academic;"The current course offered in Polokwane wasn't
the course I was hoping to do.  The course I was
hoping to do is Business Applications";Declined;2016
Family and Finance;"My parents suggested that I finish my course
here in Soshanguve because it is close to home
and my living situation at eMalahleni wasn't
in good standards, finance and accommodation
was too much.  Me being close to home will
really simplify thing for my family and I and
whenever they want to come check on me it
will be much easier.";Declined;2016
Academic;"I have been having difficulties in completing 
DSO17BT, I would like not to proceed studying
it in future.  I have realized that I have interest
in networking I have being doing well in it and I
would like to see myself studying what I like
and understand better.";Declined;2016
Academic;DSO34AT and BT is not offered at eMalahleni campus second semester so it being offered at Soshanguve I would be very glad if I would transfer to there.  I would like to finish my course this year, so if I stay here at eMalahleni it will not happen.  I must add an extra year.  Can you please consider my transfer application, cause that would really help me.;Declined;2016
Academic;Next semester I am suppose to be doing the following modules:  TPG201T, DSO34AT and BT, and ISY34AT, only to find that eMalahleni campus next semester those module won't be offered that is why I would like to take a transfer to Soshanguve campus.;Declined;2016
Academic;My current Campus eMalahleni, will not be offering DSO34AT and BT.  Should I pass all my currently registered subjects, I will have any more subjects to register.;Declined;2016
Academic;DSO34AT and BT and ISY34AT is not being offered next semester I can't sit at home for 6 months doing nothing I want to continue with my studies, and I have family in Soshanguve I would be closer to them.;Declined;2016
Academic;My mother is worried about my low performance merely because of the subject ISY34AT I don't qualify to write exam.  She wants me to study at home Soshanguve in order to regain my performance.;Declined;2016
Academic;I will be studying one subject ISY23BT for the whole second semester.  So I cannot afford to do only one subject where by which the other campus also offer with other subject that I need to repeat for first semester.  So I informed my family about the matter and they said its best I take a transfer in order for me to complete my course on time and they suggested that I move to my aunt who is residing at Soshanguve South at stand 18035 for matters of accommodation.  And there I will repeat my DSO23AT, TPG111T subject together with ISY23BT.;Declined;2016
Accommodation;I will be staying at 5 Morutlawa Street, Lotus Gardens 0008, I wanna move to Soshanguve because my family is reciding at Pretoria and they are struggling to pay rent and give me money for food every month and that side I will be staying at home.;Approved;2016
Family;I will be staying with my family if I move to Soshanguve.  My family is residing at Pretoria and I will be getting enough support with my studies from them.  I will be staying at 446 Block DD (Thutong Dr), Soshanguve, 0152;Declined;2016
Academic;The subjects am left with they not operating next semester on the campus I am attending now, so I cannot register for them next semester.;Declined;2016
Academic;I want to transfer back to Soshanguve because of academic reasons.  Some subjects seem to be only offered once a year in this campus which means should I fail a subject I might not be able to repeat it on the following semester but the year after.  This has already left a mark on me as I couldn't do a specific subject, this semester and it blocked other subjects.  As a semester student this is a bad thing because it has prolonged my course period.  It might happen again should it be I happen to fail or that subject is not offered in the next semester.;Declined;2016
Adacemic;The person whose responsible for paying my fees and accommodation she is a pensioner, I cant afford to study at distant campus.  The other reason is that my home is at Soshanguve, which is near campu.  As I am staying at home I will be able to walk to school.  I have a medical condistion that also requires me to be next to home and my family.;Declined;2016
Academic;I the person mentione above want to be transferred to Soshanguve South campus, because my family is relocating from eMalahleni to BushBuckRidge.  I will no longer have a place to stay while pursuing my studies at eMalahleni.  They won't afford to pay a place to stay, no money for me.  At Soshanguve I have a relative who have a house and I will be staying there with him until I complete my studies if the transfer is successful or if it will be unsuccessful I will have no choice to drop out, maybe until my family recover from debt condition that they are in.  I hope my reasons will be taken into a consideration.;Declined;2016
Finance;I am asking for transfer because I have been at home since I have failed my FPIDS01.  So I have decided to get a part-time job where I can be able to pay my fees because I didn't get NSFAS this year and I can be able to pay rent with that money as my mother she is a pensioner she can't afford to do it all for me, so by this salary I am getting at my work place I can be able to pay my fees and further my studies.  And I promise my job won't disturb me on my studies.  I will appreciate your approval.;Approved;2016
Academic;Strike at this campus is affecting my academic performance so this transfer enhance my performance and help me get better at what I do.;Approved;2016
Personal;I am currently working in Gauteng as a contractor, so I cannot afford to travel to Witbank during the week due to transport cost.  I usually work more hours on weekends meanign during the week I will be able to travel to Pretoria Soshanguve campus to complete my course;Approved;2018
Accommodation;I am residing in the Gauteng area and I want to be closed also focusing on opportunities and career growth;Approved;2018
Family;My family is now residing in Pretoria at 1350 Maluleka stand in Windterveld and not far from Sosahnguve.  They are unable to pay for other other needs and accommodation am currently enrolled for one subject and I have an other outstanding subject to enroll next eyar which is ISY34BT and its allowed to enroll it together with training first semester at Soshanguve South but the training is not available first semester in eMalahleni.  That's why am pleading and requesting for transfer.;Approved;2018
Family;I Would like to transfer to Soshanguve campus soth due to personal reasons.  My mother is nologer employed and can't support me financially.  A decision was made by my parents that I should move closer to my biological father, who will be financially supporting me.  I will still continue my studies towards my diploma in IT Software development.  Thank you for considering mu application.;Approved;2018
Family;I have all my family members living in Pretoria.  I will get instant help from them concerning academics.  One of my family members is currently workin gin the ICT department.  My mom is old and living alone.  She has high blood pressure and no one to help her as I am her only child.  I am always scared to leave her alone for months.  Changing the campus will reduce my stress as I am going to live with her and help her with her medication.;Approved;2018
Academic;I would like to transfer to Soshanguve campus due to the following reason:  I would like to merge/do Communication Networks and they dobn't offer it here.  I truly hope you will find my request to transfer in order.;Declined;2018
Academic;I want to transfer because next semeste I want to be able to Register SSF24At, ssf24bt, and IDC301AT.  I want to transfer because at home we are having financial constraints, at Sosh I will be able to stay with my brother.  I want to transfer because next semester I want to be able to finish all my modules.;Declined;2018
Academic;I have always wanted to specialise in Computer Systems because it has a wide field of programs and job offers.  I have laready applied fo rthe course and the applicatin is still in process.  I considered Software development because I applied late and it was the only course that I could take.  It would really be a dream come true if my application would be approved.;Approved;2018
Academic;I plead that my transfer form be approved because I want to change my field of specialisation and eMalahleni campus does not offer my desired field.  Furthermore it will be less expensive for me to transfer as I will be residing at home, because I will be udner care of my parents at all times (Financially)  The specialisation I would like to enroll in is Business Applications.;Declined;2018
Academic;I want to study Business Applications and this course, is not available at eMalahlen campus;Declined;2018
Health and Finance;I am currently an S1 student and with all due respect I would like to humbly ask for a transfer to a Pretoria campus.  Iwas diagnosed with a womb inflammatory disease last year when I was a foundation student last year.  This disease is commly known as fibroids.  it casuses me to have dizzy spealss and headches (migrane).  I go for check up and treament in Pretoria every second week of the month.  Travelling and me being unable to cope this isee both physically and academically is beocing a strain.  I would also like to chagne jaoring subjects (support services).  Am truly able to take care of mysel ff this side and sometimes finances become a pblemem because my parents are both unemployed.;Declined;2018
Family;Am appleaing for a tranfer campus due to reasons that it was never my intentions to enroll at eMalahlein campus but had intnended to enroll at the Sosh south , but was accepted here tdue to space.  This has caused financial difficulties to my family as I am not registered with NSFAS funding.  Mash as the experience this campus has been kind to me, bieng this far away from home has forced me into isolation and it would mean a lot of my family was near me for support.;Approved;2018
Family;The reason for the transfer request is due to family attributes.  My family will be moving to Polokwane thus me moving there as well will be less costly as I will be rsiding at home and have a better access to the TUT facilities and safely.;Approved;2018
Academic;To change speicalisation on my seonc year.  I need to do communication networks on my second year as it is the coursse that I want to pursue.  Doing software development its not my career thing I come to eMalahleni cause there was no space anymore at Soshanguve campus so I would like to be transfereed back to the Sosh to fulfill my career there doing Networks. My grade 12 results I do qualify.;Decline;2018
Finance;My father was recently retrenched and on one is working at home and I recently got a weekend part time job so tha tat least I put somethin gon the table for my family to eat but the problem is the job I got isat Pretoria which is why I need this transfer so that I won't spend al lthe money I work for on the road;Approved;2018
Academic;Wants to move from Soshanguve to Pretoria campus;Declined;2018
Personal;Student wants to explore;Declined;2018
Academic;I am second year student styding Software Development since from last year, I request permission to change my course to Intelligent Industrial Systems and the course is NDII12.   This course myGPA is decreasing continously and studies is getting difficult.  I need to be near my parents.;Declined;2018
Academic;I am currently studying IT first year. I hereby request permission from you to change my course to speicalise in Intelligent Industrial systems, it is my passion.;Declined;2018
Academic;I would like to merge into Cummunication Networks and it is not offered at eMalahleni campus.;Declined;2018
academic;I would like a transfer to eMalahleni campus, this are my specialization (IT) Communication Network I would to be do Software Development.;APPROVED;2015
family;The reason for the transfer is that I am going to stay at home with my mother because I was mugged twice within 2 months, so I no longer feel safe in Soshanguve and because of that my academic performance is suffering.  Approval of this transfer will be high appreciated.;APPROVED;2015
academic;Campus is closer to home town.  Expenses will be less, meaning more time spent on school work.  Specialization:  Software development for 2015 for it is the only one offered at this campus.;APPROVED;2015
family;My family has relocated to Nelspruit, so I'll be staying home with my family.;Decline;2015
family;My dad was retrenched at work so I won't be able to pay for my accommodation.  I will be staying at home in Polokwane when I transfer to the Polokwane Campus.;APPROVED;2015
family;I hereby apply for a transfer because my grandmother (guardian) lives on her own and for which I have to travel on weekends to check up on her, and I spend a lot on transport to go home.  The rent money is also a problem since she is not working (lives on social grant) and it is sometimes affecting my studies, because when she is sick I can't attend her nor help her since I'm far from her, and she's been the person who has supported me ever since.  Polokwane is my home city and I won't be spending a lot of money as I do in Witbank.  I even missed my supplementary test due to my medical attention, as my doctor (Dr) is around my place.;APPROVED;2015
health;"Due to illness, my academic performance has depreciated throughout the year.  I frequently have to go home to undergo treatments.  As such I believe It would be best for my education if I study from a campus closer to home.
Residential address:  (recently relocated)
65 Nigel Street
Westernburg
0699";APPROVED;2015
family;I am asking for transfer because I have been at home since I have failed my FPIDS01.  So I have decided to get a part-time job where I can be able to pay my fees because I didn't get NSFAS this year and I can be able to pay rent with that money as my mother she is a pensioner she can't afford to do it all for me, so by this salary I am getting at my work place I can be able to pay my fees and further my studies.  And I promise my job won't disturb me on my studies.  I will appreciate your approval.;Approve;2016
academic;Strike at this campus is affecting my academic performance so this transfer enhance my performance and help me get better at what I do.;Decline;2016
family;My brother had a car accident and he cannot afford my accommodation at my current campus as I am staying off campus.  I have free accommdation at eMalahleni Campus where I can stay while studying there and my home is very near eMalahleni Campus.  I did not register for first semester because I am attending treatment after being diagnosed with a medical condition.;APPROVED;2017
family;My parents encouraged me to do a transfer just because they often fail to attend meeting for parents as the institution invites parents in some meetings.  eMalahleni Campus is close to my home town and I can be able to visit my family since at times I wish to be with them and I fail to see them because I am far away from them.  I understand I have to stand and be independent but I love my parents and I miss them and my siblings.  I know I will be more encouraged academically when I am always around them.;APPROVED;2017
academic;I am asking to transfer because some of the subject they don't offer it in my campus.  They don't offer ISY34AT and DSO34AT.;APPROVED;2017
;I have secured in-service training in Pretoria, therefore it will be easier for me to be at the Soshanguve Campus in terms of commuting back and forth.  Also, in terms of a place to rent, I will be staying with a relative in Pretoria.  I also wish to do my in-service training concurrently with TPG201T;APPROVED;2017
academic;DSO34BT subject not running in eMalahleni campus semester 2 2017.;APPROVED;2017
academic;I want a transfer because I want to do DSO34BT next semester and it is not offered in our campus I am only left with one subject to finish my diploma.  If I am not registered in another campus it will mean that I have to stay at home for the whole six months.;APPROVED;2017
academic;I want a transfer because I will be left with DSO34BT only and it will not be running next semester on eMalahleni Campus.;APPROVED;2017
family;I am pleading for a transfer to Soshanguve because my parents stay near Soshanguve.  I need to stay with my parents because I have a sickness consition which needs to be monitored time to time.  I need supervision of my parents because of my sickness, I need to be taken care of.  I have consulting many clinics, hospitals and doctors here at eMalahleni.  I didn't find help.  Instead they gave me pills which had terrrible side effects on my body.  My tongue was undergoing in a paralysis, my eyes were twitching.  I lost focus on my studies.  I tried to study very hard because I love my studies, I want to pass very well.  Your approval will be highly appreciated.;APPROVED;2017
academic;I have only one subject left and I got an internship at Pretoria and I stay at Kwamhlanga which is closer to Soshanguve.  So it's a problem to travel from home to Witbank and I can't afford to stay at Witbank due to financial problems.;APPROVED;2017
family;I am only left with two subjects which is DSO34AT and DSO34BT.  I also reside in Germiston so I think it would be more convenient if I travel from home to Sosha Campus.  Rent is also expensive to travel from Germiston to eMalahleni would be a cost.  So I think it would be beneficial for me to finish in Pretoria where there are more opportunities for ICT.  So please consider my application I need it.;APPROVED;2017
academic;I am only left with DSO34BT and it is not going to be offered in our campus next semester.  I feel like I cannot waist the next six months doing nothing since I won't be allowe to procedd with IDC30BT.;APPROVED;2017
family;The financial assistant that I have applied for has not responded yet and currently am staying in a rental commune of which my parents are finding hard to pay for.  I can't stay at the resident because I won't be able to pay.  Moving to Soshanguve would be close to home and I won't have to worry paying for a place to stay.;APPROVED;2017
academic;I want to change campus because I want to do Communication Networks next year which is offered only at Soshanguve South Campus.  I don't want to do Software Development for my second year.  So I hope my application form will be approved because I do reach the requirement for Communication Networks.;APPROVED;2017
family;My family moved from where I stay to Johannesburg due to my father's situation.  My father is working in Joburg and now is suffering from headache that's the reason my family decided to move to Joburg.  New home address:  921 Eel Lane, Alex Mews, Alexandra, 2090.  My reason taking a transfer is to be closer to my family.;APPROVED;2017
family;It is closer to home and is a wise financial decision for my parents.;Decline;2017
academic;Student are currently registered for foundation subjects and need to finish it at eMalahleni campus before applying for transfer to Soshanguve South Campus.;Decline;2017
academic;I am applying for a transfer from Polokwane to Soshanguve since I got an internship in Johannesburg and I relocated to Johannesburg.  It will make simle for me to register my IDC outstanding subject.;APPROVED;2017
academic;All aspects TUT seem to embrace learning.  Guidance from faculty members and challenges from peer within TUT create a setting in which I can pursue current interests and discover new one while simultaneously discovering my future direction due to insufficient funds my constant failure in specific subject and health complication.  I tried applying for NSFAS for assistant but their reject my request.  May you please consider my transfer because if not I will have to put my studies on hold until my financial problem is solved which is not quarantee.;APPROVED;2015
academic;I would like a transfer to eMalahleni campus, this are my specialization (IT) Communication Network I would to be do Software Development.;APPROVED;2015
family;The reason for the transfer is that I am going to stay at home with my mother because I was mugged twice within 2 months, so I no longer feel safe in Soshanguve and because of that my academic performance is suffering.  Approval of this transfer will be high appreciated.;APPROVED;2015
family;Campus is closer to home town.  Expenses will be less, meaning more time spent on school work.  Specialization:  Software development for 2015 for it is the only one offered at this campus.;APPROVED;2015
family;My family has relocated to Nelspruit, so I'll be staying home with my family.;Decline;2015
family;My dad was retrenched at work so I won't be able to pay for my accommodation.  I will be staying at home in Polokwane when I transfer to the Polokwane Campus.;APPROVED;2015
family;I hereby apply for a transfer because my grandmother (guardian) lives on her own and for which I have to travel on weekends to check up on her, and I spend a lot on transport to go home.  The rent money is also a problem since she is not working (lives on social grant) and it is sometimes affecting my studies, because when she is sick I can't attend her nor help her since I'm far from her, and she's been the person who has supported me ever since.  Polokwane is my home city and I won't be spending a lot of money as I do in Witbank.  I even missed my supplementary test due to my medical attention, as my doctor (Dr) is around my place.;APPROVED;2015
health;"Due to illness, my academic performance has depreciated throughout the year.  I frequently have to go home to undergo treatments.  As such I believe It would be best for my education if I study from a campus closer to home.
Residential address:  (recently relocated)
65 Nigel Street
Westernburg
0699";APPROVED;2015
family;The reason why I am applying for the transfer, it is because here at Witbank the living cost are too high.  I can't afford the accommodation and even the transport.  When I am in Polokwane Campus, I will be living at home and I will not pay for the accommodation.  I will pay for the transport only.  I will appreciate that if you can transfer me to Polokwane Campus.  Yours faithfully.;APPROVED;2015
family;I only have one subject left (TPG20I) which is equivalent to TPG20AT and TPG20BT in the Software Engineering and I am willing to do both.  I cannot afford accommodation here and no longer qualify to live in campus residence.  Polokwane campus is closer to home and with in walking distance from my home.;APPROVED;2015
family;My reason of changing a campus is that I want to stay with my family at home who can motivate and support me each and everyday.  Due to the constraints that I am facing on this campus such as strikes.  I don't adapt to the environment and I am not financially stable.  So when I go home to home and come to school during recess, it is hard to get money for transport.;APPROVED;2015
family;I will be staying in Pretoria from next year (2015).  I am moving there so travelling from Pretoria to Witbank will be too expensive for me.  I won't be able to afford it.  I also do not have enough money to rent a place at Witbank.;APPROVED;2015
family;I'll be closer to home and save money for the accommodation since I will be doing one subject.;APPROVED;2015
family;My mom is not able to pay for my rent anymore, so I have to move to stay at my brother's house.  Also been told by my brother that there are so many opportunities of IT students that side.;APPROVED;2015
academic;I, Thokozani Masango, and I would like to be transferred from eMalahleni to Soshanguve Campus, because I have particularly interested in Road Traffic and Municipal Police Management course that is under the Faculty of Humanities and second choice I Policing I would be grateful for the opportunity for 2015.;Decline;2015
academic;I, the person mentioned above, want to be transferred from eMalahleni Campus to Soshanguve  Campus.  Since eMalahleni Campus offer specialization field of Software Development in ICT, I am interested in Communication Networks and it is only offered at Soshanguve  Campus.  I ask for a transfer because of what I want to pursue my career with which is Communication Networks.  I plead for my application to be approved.;Decline;2015
academic;The reason why I want to transfer is because eMalahleni Campus only specialize in Software Development.  I would like to pursue the course specialization in Support Services.;APPROVED;2015
academic;The field of Information Technology that I'm interested in is not available which is Technical Applications (NDILF1).  I would like to pursue the field of my choice at Soshanguve Campus so I can continue and go further with my studies.;Decline;2015
academic;"I have two reasons:
First reason
My family is relocating to the City of Tshwane and they want me to be closer to them.
Second reason
I need to change my current specialization which is Software Development to Support Services because am good with everything that has to do with Support Service.  I would be glad if my transfer will be approved.  Thank you for you time.";Decline;2015
